placeId,address,sub_channel,phone,latitude,longitude,status,type,googleUrl,outlet_name,ratingText,stars,numberOfReviews,websites,coldCallProbabilityWeight
Jrara5nIYDTkR78gp5gBd2RA," 122001, Badshahpur Sohna Rd Hwy, Nambardar Market, Islampur Village, Sector 38, Gurugram, Haryana 122018",Boys' hostel, 099902 61006,28.4304686,77.0367105,Available,NA,https://www.google.com/maps/place/New+Shri+Ganesh+Boys+PG+-+boys+pg+sector+38+Gurugram/data=!4m7!3m6!1s0x390d1872e6daaaad:0x10d95d00e629c8ef!8m2!3d28.4304686!4d77.0367105!16s%2Fg%2F11c60fvz1t!19sChIJrara5nIYDTkR78gp5gBd2RA?authuser=0&hl=en&rclk=1,New Shri Ganesh Boys PG - boys pg sector 38 Gurugram,4.7 stars 191 Reviews,4.7,191,"[""http://www.shriganeshpg.in/""]",74.69%
JObDpZBEjDTkROZFZM8lI-_A," Plot no. 15, Neelkanth Enclave, Sector 69, Gurugram, Haryana 122101",Hostel, 098115 36000,28.3979782,77.0441207,Available,NA,https://www.google.com/maps/place/Peepal+Gates+-+Fully+Furnished+Luxury+Co-living+PG/data=!4m7!3m6!1s0x390d231164e9b039:0xf0fb48c933599139!8m2!3d28.3979782!4d77.0441207!16s%2Fg%2F11pqnq2xm7!19sChIJObDpZBEjDTkROZFZM8lI-_A?authuser=0&hl=en&rclk=1,Peepal Gates - Fully Furnished Luxury Co-living PG,4.8 stars 192 Reviews,4.8,192,"[""NA""]",79.73%
JiV6frJcZDTkR9l8AliJRIJA," H no.-67/3, MUSKAN HOUSE PG for girls, near bus stand, Gopal Nagar, Gurugram, Haryana 122001",Girls' hostel, 098995 35203,28.4641243,77.0311741,Available,NA,https://www.google.com/maps/place/Muskan+house+-+PG+for+Girls/data=!4m7!3m6!1s0x390d1997ac9f5e89:0x9020512296005ff6!8m2!3d28.4641243!4d77.0311741!16s%2Fg%2F11llk3zjxn!19sChIJiV6frJcZDTkR9l8AliJRIJA?authuser=0&hl=en&rclk=1,Muskan house - PG for Girls,4.8 stars 53 Reviews,4.8,53,"[""NA""]",70.39%
J0QdcW5gjDTkRhXtQ0deG4Ak," Gali No.1, Badshahpur Sohna Rd Hwy, near Jmd Mega Polish, Tikri, Sector 48, Gurugram, Haryana 122001",Home help, 099103 43216,28.421109,77.0372695,Available,NA,https://www.google.com/maps/place/Oracle+Living+Girls+PG+Sector+48+Sohna+Road+Gurgaon/data=!4m7!3m6!1s0x390d23985b5c07d1:0x9e086d7d1507b85!8m2!3d28.421109!4d77.0372695!16s%2Fg%2F11s378yd33!19sChIJ0QdcW5gjDTkRhXtQ0deG4Ak?authuser=0&hl=en&rclk=1,Oracle Living Girls PG Sector 48 Sohna Road Gurgaon,4.9 stars 86 Reviews,4.9,86,"[""NA""]",74.87%
JPQXTwJ8ZDTkRpCDT9zh6R_A," 40/92, Shaheed Major Vikas Yadav Marg, near Reliance SMART Superstore, Kirti Nagar, Sector 15 Part 1, Patel Nagar, Gurugram, Haryana 122001",Girls' hostel, 099711 96715,28.45375,77.0379609,Available,NA,https://www.google.com/maps/place/HR+Pg+for+Girls/data=!4m7!3m6!1s0x390d199fc0d3053d:0xf0477a38f7d320a4!8m2!3d28.45375!4d77.0379609!16s%2Fg%2F11f6db62f6!19sChIJPQXTwJ8ZDTkRpCDT9zh6R_A?authuser=0&hl=en&rclk=1,HR Pg for Girls,4.4 stars 213 Reviews,4.4,213,"[""NA""]",76.42%
J51fTyc4ZDTkRJIenZPvbpf8," hno 31/645, Gurugram Sukhrali, Sector 17 The, Dhaniram Complex, Gali Number 1, Gurugram, Haryana 122001",Hostel, 088845 18010,28.4755737,77.0610026,Available,NA,https://www.google.com/maps/place/Zolo+Mansion+-+PG+in+Sector+17+Gurgaon/data=!4m7!3m6!1s0x390d19cec9d357e7:0xffa5dbfb64a78724!8m2!3d28.4755737!4d77.0610026!16s%2Fg%2F11fpq_8q_b!19sChIJ51fTyc4ZDTkRJIenZPvbpf8?authuser=0&hl=en&rclk=1,Zolo Mansion - PG in Sector 17 Gurgaon,3.9 stars 236 Reviews,3.9,236,"[""https://zolostays.com/pg-hostel-near-sector_17-in-gurugram-zolo_mansion-zgg021""]",68.07%
JZ9mBHqQZDTkRnXpNyXCWNlA," 11, Airforce Station Sohna Rd, Islampur Colony, Sector 33, Gurugram, Haryana 122001",Hostel, 094670 65190,28.4370759,77.0360212,Available,NA,https://www.google.com/maps/place/RAJ+RAO+PG/data=!4m7!3m6!1s0x390d19a41e81d967:0x50369670c94d7a9d!8m2!3d28.4370759!4d77.0360212!16s%2Fg%2F11qmqzsdwh!19sChIJZ9mBHqQZDTkRnXpNyXCWNlA?authuser=0&hl=en&rclk=1,RAJ RAO PG,4.3 stars 41 Reviews,4.3,41,"[""NA""]",63.72%
JhdkRXvgZDTkR5q3Xmwb9ssg,undefined,Girls' hostelOpen ⋅ Closes 8 pm, 083838 51204,28.4226011,76.9900807,Available,NA,https://www.google.com/maps/place/Best+Pg+sector+14+gurugram/data=!4m7!3m6!1s0x390d19f85e11d985:0xc8b2fd069bd7ade6!8m2!3d28.4226011!4d76.9900807!16s%2Fg%2F11sh17ddz2!19sChIJhdkRXvgZDTkR5q3Xmwb9ssg?authuser=0&hl=en&rclk=1,Best Pg sector 14 gurugram,4.7 stars 98 Reviews,4.7,98,"[""NA""]",73.85%
JycDPhcoZDTkRX5IugcXV0BE," Plot No. 212, near Sector 32, Sector 39, Gurugram, Haryana 122001",Hostel, 095404 00016,28.4428127,77.0467313,Available,NA,https://www.google.com/maps/place/Sunlight+pg/data=!4m7!3m6!1s0x390d19ca85cfc0c9:0x11d0d5c5812e925f!8m2!3d28.4428127!4d77.0467313!16s%2Fg%2F11l2q_8kz8!19sChIJycDPhcoZDTkRX5IugcXV0BE?authuser=0&hl=en&rclk=1,Sunlight pg,4.9 stars 36 Reviews,4.9,36,"[""https://sites.google.com/view/sunlightpg""]",64.94%
JFVodp5wZDTkRK1eicKod9Vw," H.NO 191/3 near, Bus Stand Rd, Gopal Nagar, Sector 12, Gurugram, Haryana 122001",Girls' hostel, 099111 35359,28.4641827,77.0322882,Available,NA,https://www.google.com/maps/place/Om+Sai+Ram+Girls+PG/data=!4m7!3m6!1s0x390d199ca71d5a15:0x5cf51daa70a2572b!8m2!3d28.4641827!4d77.0322882!16s%2Fg%2F11jm330fj4!19sChIJFVodp5wZDTkRK1eicKod9Vw?authuser=0&hl=en&rclk=1,Om Sai Ram Girls PG,4.6 stars 104 Reviews,4.6,104,"[""NA""]",73.29%
JWeo7Fu0ZDTkRYi7kmYgoj8k," IYRA house pg, gate no 1, Gali no 1 Satguru farm house opp maruti gate 1 Old Delhi gurugram road, Road, opposite maruti company, Sector 22, Gurugram, Haryana 122001",Hostel, 087999 90004,28.4984192,77.062139,Available,NA,https://www.google.com/maps/place/IYRA+pg+for+boys+and+girls/data=!4m7!3m6!1s0x390d19ed163bea59:0xc98f288899e42e62!8m2!3d28.4984192!4d77.062139!16s%2Fg%2F11j2lsv7p8!19sChIJWeo7Fu0ZDTkRYi7kmYgoj8k?authuser=0&hl=en&rclk=1,IYRA pg for boys and girls,4.3 stars 193 Reviews,4.3,193,"[""NA""]",74.76%
Jp4w6lNkZDTkRQywhBtOdGt8," 614, Sector 21, Gurugram, Haryana 122016",Boys' hostel, 097112 56407,28.5101825,77.0682661,Available,NA,https://www.google.com/maps/place/Pg+in+Sector+21+Gurgaon/data=!4m7!3m6!1s0x390d19d9943a8ca7:0xdf1a9dd306212c43!8m2!3d28.5101825!4d77.0682661!16s%2Fg%2F11t5tf52_r!19sChIJp4w6lNkZDTkRQywhBtOdGt8?authuser=0&hl=en&rclk=1,Pg in Sector 21 Gurgaon,4.9 stars 119 Reviews,4.9,119,"[""NA""]",77.30%
Ja5ye7o4YDTkRzuV9zQujP5A," House No- 1642, near Doordarshan Apartments, Block C, Sector 45, Gurugram, Haryana 122001",Girls' hostel, 098910 21122,28.4467101,77.0656055,Available,NA,https://www.google.com/maps/place/The+Safehouse+Girls+PG/data=!4m7!3m6!1s0x390d188eee9e9c6b:0x903fa30bcd7de5ce!8m2!3d28.4467101!4d77.0656055!16s%2Fg%2F11c32cpm63!19sChIJa5ye7o4YDTkRzuV9zQujP5A?authuser=0&hl=en&rclk=1,The Safehouse Girls PG,4.5 stars 129 Reviews,4.5,129,"[""http://www.safehousepg.in/""]",69.90%
JgVB1kJUjDTkRgOFq8VpeP-o," Plot no.5, Fazilpur Dhani, near Vipul World, Sector 48, Gurugram, Haryana 122018",Hostel, 088845 18010,28.4151071,77.0353224,Available,NA,https://www.google.com/maps/place/Zolo+La+Lagoon+-+PG+in+Sector+48+Gurgaon/data=!4m7!3m6!1s0x390d239590755081:0xea3f5e5af16ae180!8m2!3d28.4151071!4d77.0353224!16s%2Fg%2F11fn4bbh80!19sChIJgVB1kJUjDTkRgOFq8VpeP-o?authuser=0&hl=en&rclk=1,Zolo La Lagoon - PG in Sector 48 Gurgaon,4.0 stars 173 Reviews,4,173,"[""https://zolostays.com/pg-hostel-near-sector_48-in-gurugram-zolo_la_lagoon-zgg018""]",67.01%
JWa-zfIsZDTkRvjd-4wgHgJc," Hero honda chowk, near indin oil petrol pump sarvice, Pace City I, rood, Gurugram, Haryana 122001",Boys' hostel, 085278 59727,28.4403415,77.0133866,Available,NA,https://www.google.com/maps/place/Tulsi+P+G/data=!4m7!3m6!1s0x390d198b7cb3af59:0x97800708e37e37be!8m2!3d28.4403415!4d77.0133866!16s%2Fg%2F11qq9kp0wt!19sChIJWa-zfIsZDTkRvjd-4wgHgJc?authuser=0&hl=en&rclk=1,Tulsi P G,4.9 stars 79 Reviews,4.9,79,"[""NA""]",74.24%
JE7Ni0BMZDTkRBnEHsL7_9yU," 1302 A, nr. Ajanta Public School, Sector 31, Gurugram, Haryana 122001",Hostel, 098995 36278,28.4505475,77.0483828,Available,NA,https://www.google.com/maps/place/Ambawat+Boys+PG+in+Sector+31/data=!4m7!3m6!1s0x390d1913d062b313:0x25f7ffbeb0077106!8m2!3d28.4505475!4d77.0483828!16s%2Fg%2F11rfm2ydff!19sChIJE7Ni0BMZDTkRBnEHsL7_9yU?authuser=0&hl=en&rclk=1,Ambawat Boys PG in Sector 31,4.7 stars 30 Reviews,4.7,30,"[""NA""]",65.92%
JA8p6cIcZDTkRIUUSCCS9-Rk," 1422/1, New Railway Rd, opposite Dronacharya Govt. College, Mahavir Pura, Sanjay colony, Sector 6, Gurugram, Haryana 122001",Boys' hostel, 092890 40000,28.4689256,77.0253232,Available,NA,https://www.google.com/maps/place/Vijay+Boys+PG/data=!4m7!3m6!1s0x390d1987707aca03:0x19f9bd2408124521!8m2!3d28.4689256!4d77.0253232!16s%2Fg%2F11gjtxj6v1!19sChIJA8p6cIcZDTkRIUUSCCS9-Rk?authuser=0&hl=en&rclk=1,Vijay Boys PG,4.9 stars 88 Reviews,4.9,88,"[""https://pggurugram.in/""]",71.04%
JBXi2D-0ZDTkRZePeCZJJHhc," PLOT NO.3, near BINDAL STUDIO, Sector 15 Part 1, Patel Nagar, Gurugram, Haryana 122001",Hostel, 088168 93558,28.4554967,77.0376611,Available,NA,https://www.google.com/maps/place/Jai+Shree+Krishna+PG+-+2/data=!4m7!3m6!1s0x390d19ed0fb67805:0x171e499209dee365!8m2!3d28.4554967!4d77.0376611!16s%2Fg%2F11l6x7m7dz!19sChIJBXi2D-0ZDTkRZePeCZJJHhc?authuser=0&hl=en&rclk=1,Jai Shree Krishna PG - 2,5.0 stars 22 Reviews,5,22,"[""NA""]",67.41%
JD89iYtUZDTkR_LPAUA7tv_Y," Masjid Wali Gali, Hans Enclave, Sector 33, Gurugram, Haryana 122001",Furnished apartment building, 092685 75004,28.4445413,77.0283899,Available,NA,https://www.google.com/maps/place/Aamad+PG+and+Guest+house/data=!4m7!3m6!1s0x390d19d56262cf0f:0xf6bfed0e50c0b3fc!8m2!3d28.4445413!4d77.0283899!16s%2Fg%2F11h6v0grgj!19sChIJD89iYtUZDTkR_LPAUA7tv_Y?authuser=0&hl=en&rclk=1,Aamad PG and Guest house,4.4 stars 51 Reviews,4.4,51,"[""NA""]",66.13%
JZ21fXCEZDTkRUbRT14VwEwU," Kothi, 18, Sector 40, Gurugram, Haryana 122001",Girls' hostel, 096502 00181,28.4496096,77.05204,Available,NA,https://www.google.com/maps/place/Girls+PG+in+Gurgaon+Sector+40+%7C+Unistay+PG/data=!4m7!3m6!1s0x390d19215c5f6d67:0x5137085d753b451!8m2!3d28.4496096!4d77.05204!16s%2Fg%2F11j0v0jm25!19sChIJZ21fXCEZDTkRUbRT14VwEwU?authuser=0&hl=en&rclk=1,Girls PG in Gurgaon Sector 40 | Unistay PG,4.1 stars 88 Reviews,4.1,88,"[""http://unistaypg.com/""]",63.04%
JVVVVVSUYDTkRTTqx7cyGD7U," B-274, near Ram Mandir, Mianwali Colony, Gurugram, Haryana 122001",Hostel, 097175 53138,28.468595,77.0309329,Available,NA,https://www.google.com/maps/place/Om+Sai+Ram+Boys+PG/data=!4m7!3m6!1s0x390d182555555555:0xb50f86ccedb13a4d!8m2!3d28.468595!4d77.0309329!16s%2Fg%2F11cn_9ytxp!19sChIJVVVVVSUYDTkRTTqx7cyGD7U?authuser=0&hl=en&rclk=1,Om Sai Ram Boys PG,4.0 stars 79 Reviews,4,79,"[""NA""]",65.24%
J3yArUGsZDTkRSh5L0nYZhRM," H.No.998, Millennium Residency, Near, Subhash Chowk, near Subhash Chowk Flyover, Pragati Hills Society, Sector 47, Gurugram, Haryana 122001",Girls' hostel, 094169 79137,28.4276227,77.0408138,Available,NA,https://www.google.com/maps/place/Alpha+Corporate+Girls+PG/data=!4m7!3m6!1s0x390d196b502b20df:0x13851976d24b1e4a!8m2!3d28.4276227!4d77.0408138!16s%2Fg%2F11vcmdfhn7!19sChIJ3yArUGsZDTkRSh5L0nYZhRM?authuser=0&hl=en&rclk=1,Alpha Corporate Girls PG,5.0 stars 34 Reviews,5,34,"[""NA""]",69.61%
JJaD7czojDTkRZX174-7Wysc," First Floor, M3M URBANA, R-8 108, Ramgarh, Sector 67, Gurugram, Haryana 122102",Hostel, 070426 63242,28.389917,77.0664934,Available,NA,"https://www.google.com/maps/place/Seventh+Heaven+Corporate+Office+%281+RK,+Girls+PG,+Co-living%29/data=!4m7!3m6!1s0x390d233a73fba025:0xc7cad6eee37b7d65!8m2!3d28.389917!4d77.0664934!16s%2Fg%2F11ybhqsjlc!19sChIJJaD7czojDTkRZX174-7Wysc?authuser=0&hl=en&rclk=1","Seventh Heaven Corporate Office (1 RK, Girls PG, Co-living)",4.0 stars 1 Reviews,4,1,"[""https://seventh-heaven.in/""]",48.30%
JX_tmx3MZDTkRhjRK78IKEdw," 37/19, Road no-5, Moti Vihar, South City I, Gurugram, Haryana 122001",Hostel, 085868 22086,28.4585397,77.0616527,Available,NA,https://www.google.com/maps/place/Shree+Shyam+Deluxe+PG/data=!4m7!3m6!1s0x390d1973c766fb5f:0xdc110ac2ef4a3486!8m2!3d28.4585397!4d77.0616527!16s%2Fg%2F11txdmkyxj!19sChIJX_tmx3MZDTkRhjRK78IKEdw?authuser=0&hl=en&rclk=1,Shree Shyam Deluxe PG,4.4 stars 75 Reviews,4.4,75,"[""NA""]",68.86%
JtZpiSSAYDTkR5D_Y3z3l8zs," H.No. 18, N.H. 8, near Hero Honda chowk, Hari Nagar, Sector 37, Gurugram, Haryana 122001",Hostel, 073038 88780,28.4418477,77.0141179,Available,NA,https://www.google.com/maps/place/City+Co+Homes+PG/data=!4m7!3m6!1s0x390d182049629ab5:0x3bf3e53ddfd83fe4!8m2!3d28.4418477!4d77.0141179!16s%2Fg%2F11lbg9bcl3!19sChIJtZpiSSAYDTkR5D_Y3z3l8zs?authuser=0&hl=en&rclk=1,City Co Homes PG,4.7 stars 201 Reviews,4.7,201,"[""http://www.citycohomes.com/""]",75.03%
JU0JjwsQZDTkRiP87zvNl8pc," 2121, Sukhrali Rd, near Sector 17 A, Sukhrali, Market, Gurugram, Haryana 122001",Hostel, 073034 72121,28.477304,77.0615114,Available,NA,https://www.google.com/maps/place/KHUSHAL+HOMZ+%7C+Living+Re-Defined+%E2%80%93+Exclusive+PG+for+a+New-Age+Lifestyle/data=!4m7!3m6!1s0x390d19c4c2634253:0x97f265f3ce3bff88!8m2!3d28.477304!4d77.0615114!16s%2Fg%2F11gmyvrt6l!19sChIJU0JjwsQZDTkRiP87zvNl8pc?authuser=0&hl=en&rclk=1,KHUSHAL HOMZ | Living Re-Defined – Exclusive PG for a New-Age Lifestyle,4.0 stars 260 Reviews,4,260,"[""http://mystaykhushalhomz.com/""]",69.67%
J22rm5UEjDTkR0NLiouoz7uY," Neelkanth enclave, Plot No 6l, Sector 69, Gurugram, Haryana 122101",Hostel, 099539 98868,28.3985411,77.0445627,Available,NA,https://www.google.com/maps/place/Royal+Bright+star+pg+%7C+Best+Boys+pg+in+gurgoan/data=!4m7!3m6!1s0x390d2341e5e66adb:0xe6ee33eaa2e2d2d0!8m2!3d28.3985411!4d77.0445627!16s%2Fg%2F11rmwbxzc_!19sChIJ22rm5UEjDTkR0NLiouoz7uY?authuser=0&hl=en&rclk=1,Royal Bright star pg | Best Boys pg in gurgoan,3.7 stars 48 Reviews,3.7,48,"[""NA""]",58.73%
JdZZd6j4YDTkR9JhVMGeYWkA," 280, 157, Gali Number 4, near Rajiv Chowk, Shanti Nagar, Heera Nagar, Sector 11, Gurugram, Haryana 122001",Hostel, 098711 97766,28.4506755,77.0251082,Available,NA,https://www.google.com/maps/place/Sakshi+Boys+PG+Gurgaon/data=!4m7!3m6!1s0x390d183eea5d9675:0x405a9867305598f4!8m2!3d28.4506755!4d77.0251082!16s%2Fg%2F1tjgyrq3!19sChIJdZZd6j4YDTkR9JhVMGeYWkA?authuser=0&hl=en&rclk=1,Sakshi Boys PG Gurgaon,3.8 stars 151 Reviews,3.8,151,"[""NA""]",68.05%
JLegCZQAjDTkRudOxh4JO1b8," Khushal Nagar, 124 A, Golf Course Ext Rd, near Genpact, Sector 69, Gurugram, Haryana 122001",Hostel, 090344 90439,28.3970314,77.0417402,Available,NA,https://www.google.com/maps/place/The+PG/data=!4m7!3m6!1s0x390d23006502e82d:0xbfd54e8287b1d3b9!8m2!3d28.3970314!4d77.0417402!16s%2Fg%2F11w7l4yv7c!19sChIJLegCZQAjDTkRudOxh4JO1b8?authuser=0&hl=en&rclk=1,The PG,5.0 stars 3 Reviews,5,3,"[""https://in.pg.com/""]",58.87%
JLSeDWYUYDTkRq1muov3zKpM," House- 101, Attached Uniworld City East, sec 41, 30, 31, Gurgaon Silokhera Road , sec 41, Sector 30, Gurugram, Haryana 122001",Hostel, 098126 26965,28.4570077,77.0580831,Available,NA,"https://www.google.com/maps/place/Ashray+P.G.+%26+Guest+House,+For+Boys+%26+Girls/data=!4m7!3m6!1s0x390d18855983272d:0x932af3fda2ae59ab!8m2!3d28.4570077!4d77.0580831!16s%2Fg%2F11c51wbsqd!19sChIJLSeDWYUYDTkRq1muov3zKpM?authuser=0&hl=en&rclk=1","Ashray P.G. & Guest House, For Boys & Girls",4.0 stars 186 Reviews,4,186,"[""NA""]",71.51%
J07v9s_QZDTkRmwKGKS8mq3g," Plot No.29, South City I, Sector 41, Gurugram, Haryana 122001",Hostel, 097111 73784,28.4554922,77.0585764,Available,NA,https://www.google.com/maps/place/Homizzz+PG+FOR+BOYS/data=!4m7!3m6!1s0x390d19f4b3fdbbd3:0x78ab262f2986029b!8m2!3d28.4554922!4d77.0585764!16s%2Fg%2F11gv19mjkk!19sChIJ07v9s_QZDTkRmwKGKS8mq3g?authuser=0&hl=en&rclk=1,Homizzz PG FOR BOYS,4.2 stars 62 Reviews,4.2,62,"[""NA""]",65.48%
