placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name,loginId,similarity_score,skus
JlTia5CcDDTkR68Fw0K72vfY," basement of Hotel, Southern Building, 18/2, Arya Samaj Rd, Block 18, WEA, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 083685 01419,28.6463617,77.1953729,https://www.google.com/maps/place/Southern+Super+Market/data=!4m7!3m6!1s0x390d0327e49a3895:0xf6bdf6aed070c1eb!8m2!3d28.6463617!4d77.1953729!16s%2Fg%2F11f3wcy8b8!19sChIJlTia5CcDDTkR68Fw0K72vfY?authuser=0&hl=en&rclk=1,Southern Super Market,DSR-NCR-031,0.8,"[{""skuCode"":""10121465"",""qty"":7,""wgt"":68.34},{""skuCode"":""10121465"",""qty"":7,""wgt"":62.75},{""skuCode"":""10121465"",""qty"":12,""wgt"":60.57}]"
JlTia5CcDDTkR68Fw0K72vfY," basement of Hotel, Southern Building, 18/2, Arya Samaj Rd, Block 18, WEA, Karol Bagh, New Delhi, Delhi, 110005",Grocery store, 083685 01419,28.6463617,77.1953729,https://www.google.com/maps/place/Southern+Super+Market/data=!4m7!3m6!1s0x390d0327e49a3895:0xf6bdf6aed070c1eb!8m2!3d28.6463617!4d77.1953729!16s%2Fg%2F11f3wcy8b8!19sChIJlTia5CcDDTkR68Fw0K72vfY?authuser=0&hl=en&rclk=1,Southern Super Market,DSR-NCR-031,0.8,"[{""skuCode"":""10121465"",""qty"":7,""wgt"":68.34},{""skuCode"":""10121465"",""qty"":7,""wgt"":62.75},{""skuCode"":""10121465"",""qty"":12,""wgt"":60.57}]"
JbUBD2GgHDTkRFCe9lvz11C8," 242-243, Pocket 8, Sector 23, Rohini, New Delhi, Delhi, 110085",Indian grocery store, 095607 84616,28.7220468,77.084133,https://www.google.com/maps/place/NEED%27S+DEPARTMENTAL+STORE/data=!4m7!3m6!1s0x390d0768d843406d:0x2fd4f5fc96bd2714!8m2!3d28.7220468!4d77.084133!16s%2Fg%2F11rgrhlz86!19sChIJbUBD2GgHDTkRFCe9lvz11C8?authuser=0&hl=en&rclk=1,NEED'S DEPARTMENTAL STORE,DSR-NCR-037,0.5,"[{""skuCode"":""10121465"",""qty"":30,""wgt"":19.18},{""skuCode"":""10121465"",""qty"":60,""wgt"":9.72},{""skuCode"":""10151652"",""qty"":2,""wgt"":9.3}]"
JbUBD2GgHDTkRFCe9lvz11C8," 242-243, Pocket 8, Sector 23, Rohini, New Delhi, Delhi, 110085",Indian grocery store, 095607 84616,28.7220468,77.084133,https://www.google.com/maps/place/NEED%27S+DEPARTMENTAL+STORE/data=!4m7!3m6!1s0x390d0768d843406d:0x2fd4f5fc96bd2714!8m2!3d28.7220468!4d77.084133!16s%2Fg%2F11rgrhlz86!19sChIJbUBD2GgHDTkRFCe9lvz11C8?authuser=0&hl=en&rclk=1,NEED'S DEPARTMENTAL STORE,DSR-NCR-037,0.5,"[{""skuCode"":""10121465"",""qty"":30,""wgt"":19.18},{""skuCode"":""10121465"",""qty"":60,""wgt"":9.72},{""skuCode"":""10151652"",""qty"":2,""wgt"":9.3}]"
JbUBD2GgHDTkRFCe9lvz11C8," 242-243, Pocket 8, Sector 23, Rohini, New Delhi, Delhi, 110085",Indian grocery store, 095607 84616,28.7220468,77.084133,https://www.google.com/maps/place/NEED%27S+DEPARTMENTAL+STORE/data=!4m7!3m6!1s0x390d0768d843406d:0x2fd4f5fc96bd2714!8m2!3d28.7220468!4d77.084133!16s%2Fg%2F11rgrhlz86!19sChIJbUBD2GgHDTkRFCe9lvz11C8?authuser=0&hl=en&rclk=1,NEED'S DEPARTMENTAL STORE,DSR-NCR-037,0.5,"[{""skuCode"":""10121465"",""qty"":30,""wgt"":19.18},{""skuCode"":""10121465"",""qty"":60,""wgt"":9.72},{""skuCode"":""10151652"",""qty"":2,""wgt"":9.3}]"
JvbpBx_gDDTkRGvPPuEvMDT0," 154, Mangolpur Kalan, Pocket 4, Sector 2, Rohini, Delhi, 110085",Grocery store, 088829 43481,28.6974417,77.103928,https://www.google.com/maps/place/Puneet+Retails/data=!4m7!3m6!1s0x390d03f8c741babd:0x3d0dcc4bb8cff31a!8m2!3d28.6974417!4d77.103928!16s%2Fg%2F11bx5qcn1_!19sChIJvbpBx_gDDTkRGvPPuEvMDT0?authuser=0&hl=en&rclk=1,Puneet Retails,DSR-NCR-160,0.8,"[{""skuCode"":""10227282"",""qty"":13,""wgt"":71.71},{""skuCode"":""AS69G"",""qty"":4,""wgt"":65.77},{""skuCode"":""10121466"",""qty"":11,""wgt"":49.3}]"
J5WA7xwMEDTkRbK1hKYNOV9Y," 76, Kanjhawala Rd, Pocket B, Sector 1, Rohini, Delhi, 110085",Hypermarket, 0124 455 5100,28.699351,77.0953225,https://www.google.com/maps/place/Vishal+Mega+Mart/data=!4m7!3m6!1s0x390d0403c73b60e5:0xd6574e832961ad6c!8m2!3d28.699351!4d77.0953225!16s%2Fg%2F11gb3y_hwt!19sChIJ5WA7xwMEDTkRbK1hKYNOV9Y?authuser=0&hl=en&rclk=1,Vishal Mega Mart,DSR-NCR-160,0.8,"[{""skuCode"":""10227282"",""qty"":6,""wgt"":55.12},{""skuCode"":""10227282"",""qty"":12,""wgt"":49.5},{""skuCode"":""10121466"",""qty"":5,""wgt"":36.19}]"
JlTf0ggAEDTkR4eN5VZKA048," F-22/3, Sector - 3, Rohini, Delhi 110085",Grocery store, 098911 89878,28.7008291,77.1024176,https://www.google.com/maps/place/Anpurna+Super+Store/data=!4m7!3m6!1s0x390d040082f43795:0x8fd380925579e3e1!8m2!3d28.7008291!4d77.1024176!16s%2Fg%2F11bz0ltz_m!19sChIJlTf0ggAEDTkR4eN5VZKA048?authuser=0&hl=en&rclk=1,Anpurna Super Store,DSR-NCR-160,0.8,"[{""skuCode"":""10227282"",""qty"":13,""wgt"":71.71},{""skuCode"":""AS69G"",""qty"":4,""wgt"":65.77},{""skuCode"":""10121466"",""qty"":11,""wgt"":49.3}]"
J3bYpf_wBDTkRGxDas1Ffq7Q," H 1 6, near Ganesh Chowk, Pocket 1, Sector 11, Rohini, Delhi, 110085",Organic food store, 072177 80299,28.733771,77.1114571,https://www.google.com/maps/place/Shudh+Aahar/data=!4m7!3m6!1s0x390d01fc7f29b6dd:0xb4ab5f51b3da101b!8m2!3d28.733771!4d77.1114571!16s%2Fg%2F11tss4cyxc!19sChIJ3bYpf_wBDTkRGxDas1Ffq7Q?authuser=0&hl=en&rclk=1,Shudh Aahar,DSR-SPT-NCR-400,0.5,"[{""skuCode"":""10121465"",""qty"":66,""wgt"":37.14},{""skuCode"":""10121466"",""qty"":600,""wgt"":18.32},{""skuCode"":""10114638"",""qty"":4,""wgt"":15.46},{""skuCode"":""10121466"",""qty"":90,""wgt"":13.53},{""skuCode"":""BB88S"",""qty"":211,""wgt"":13.36}]"
J1bJ9V1EBDTkRRER1hrMDkRc," B 2 / 159, Sector 6, Rohini, New Delhi, Delhi 110085",Organic food store, 085868 70686,28.7111082,77.1084928,https://www.google.com/maps/place/SMB+Healthcare/data=!4m7!3m6!1s0x390d0151577db2d5:0x179103b386754444!8m2!3d28.7111082!4d77.1084928!16s%2Fg%2F11c5znj5kt!19sChIJ1bJ9V1EBDTkRRER1hrMDkRc?authuser=0&hl=en&rclk=1,SMB Healthcare,DSR-SPT-NCR-400,0.5,"[{""skuCode"":""10121465"",""qty"":66,""wgt"":37.14},{""skuCode"":""10121466"",""qty"":600,""wgt"":18.32},{""skuCode"":""10114638"",""qty"":4,""wgt"":15.46},{""skuCode"":""10121466"",""qty"":90,""wgt"":13.53},{""skuCode"":""BB88S"",""qty"":211,""wgt"":13.36}]"
J1bJ9V1EBDTkRRER1hrMDkRc," B 2 / 159, Sector 6, Rohini, New Delhi, Delhi 110085",Organic food store, 085868 70686,28.7111082,77.1084928,https://www.google.com/maps/place/SMB+Healthcare/data=!4m7!3m6!1s0x390d0151577db2d5:0x179103b386754444!8m2!3d28.7111082!4d77.1084928!16s%2Fg%2F11c5znj5kt!19sChIJ1bJ9V1EBDTkRRER1hrMDkRc?authuser=0&hl=en&rclk=1,SMB Healthcare,DSR-SPT-NCR-400,0.5,"[{""skuCode"":""10121465"",""qty"":66,""wgt"":37.14},{""skuCode"":""10121466"",""qty"":600,""wgt"":18.32},{""skuCode"":""10114638"",""qty"":4,""wgt"":15.46},{""skuCode"":""10121466"",""qty"":90,""wgt"":13.53},{""skuCode"":""BB88S"",""qty"":211,""wgt"":13.36}]"
J13WHOsH9DDkRqmyXoBXPDfs," Shop No 2, near Shiv Mandir, Block 22, Shakti Nagar, Delhi, 110007",Produce market, 093118 73126,28.6799364,77.1977096,https://www.google.com/maps/place/FRUITFULLY/data=!4m7!3m6!1s0x390cfdc13a8775d7:0xfb0dcf15a0976caa!8m2!3d28.6799364!4d77.1977096!16s%2Fg%2F11rb0yz9xp!19sChIJ13WHOsH9DDkRqmyXoBXPDfs?authuser=0&hl=en&rclk=1,FRUITFULLY,FSA-SPT-NCR-019,0.5,"[{""skuCode"":""10121465"",""qty"":1500,""wgt"":6.07},{""skuCode"":""10245866"",""qty"":6,""wgt"":4.21},{""skuCode"":""10180405"",""qty"":2,""wgt"":2.27},{""skuCode"":""10121466"",""qty"":900,""wgt"":1.87}]"
J13WHOsH9DDkRqmyXoBXPDfs," Shop No 2, near Shiv Mandir, Block 22, Shakti Nagar, Delhi, 110007",Produce market, 093118 73126,28.6799364,77.1977096,https://www.google.com/maps/place/FRUITFULLY/data=!4m7!3m6!1s0x390cfdc13a8775d7:0xfb0dcf15a0976caa!8m2!3d28.6799364!4d77.1977096!16s%2Fg%2F11rb0yz9xp!19sChIJ13WHOsH9DDkRqmyXoBXPDfs?authuser=0&hl=en&rclk=1,FRUITFULLY,FSA-SPT-NCR-019,0.5,"[{""skuCode"":""10121465"",""qty"":1500,""wgt"":6.07},{""skuCode"":""10245866"",""qty"":6,""wgt"":4.21},{""skuCode"":""10180405"",""qty"":2,""wgt"":2.27},{""skuCode"":""10121466"",""qty"":900,""wgt"":1.87}]"
